DateKey,Date,Day,WeekNr,Month,MonthShort,MonthNo,Quarter,Year
20140405,2014-04-05,Saturday,14,April,Apr,4,2,2014
20140406,2014-04-06,Sunday,15,April,Apr,4,2,2014
20140407,2014-04-07,Monday,15,April,Apr,4,2,2014
20140408,2014-04-08,Tuesday,15,April,Apr,4,2,2014
20140409,2014-04-09,Wednesday,15,April,Apr,4,2,2014
20140410,2014-04-10,Thursday,15,April,Apr,4,2,2014
20140411,2014-04-11,Friday,15,April,Apr,4,2,2014
20140412,2014-04-12,Saturday,15,April,Apr,4,2,2014
20140413,2014-04-13,Sunday,16,April,Apr,4,2,2014
20140414,2014-04-14,Monday,16,April,Apr,4,2,2014
20140415,2014-04-15,Tuesday,16,April,Apr,4,2,2014
20140416,2014-04-16,Wednesday,16,April,Apr,4,2,2014
20140417,2014-04-17,Thursday,16,April,Apr,4,2,2014
20140418,2014-04-18,Friday,16,April,Apr,4,2,2014
20140419,2014-04-19,Saturday,16,April,Apr,4,2,2014
20140420,2014-04-20,Sunday,17,April,Apr,4,2,2014
20140421,2014-04-21,Monday,17,April,Apr,4,2,2014
20140422,2014-04-22,Tuesday,17,April,Apr,4,2,2014
20140423,2014-04-23,Wednesday,17,April,Apr,4,2,2014
20140424,2014-04-24,Thursday,17,April,Apr,4,2,2014
20140425,2014-04-25,Friday,17,April,Apr,4,2,2014
20140426,2014-04-26,Saturday,17,April,Apr,4,2,2014
20140427,2014-04-27,Sunday,18,April,Apr,4,2,2014
20140428,2014-04-28,Monday,18,April,Apr,4,2,2014
20140429,2014-04-29,Tuesday,18,April,Apr,4,2,2014
20140430,2014-04-30,Wednesday,18,April,Apr,4,2,2014
20140501,2014-05-01,Thursday,18,May,May,5,2,2014
20140502,2014-05-02,Friday,18,May,May,5,2,2014
20140503,2014-05-03,Saturday,18,May,May,5,2,2014
20140504,2014-05-04,Sunday,19,May,May,5,2,2014
20140505,2014-05-05,Monday,19,May,May,5,2,2014
20140506,2014-05-06,Tuesday,19,May,May,5,2,2014
20140507,2014-05-07,Wednesday,19,May,May,5,2,2014
20140508,2014-05-08,Thursday,19,May,May,5,2,2014
20140509,2014-05-09,Friday,19,May,May,5,2,2014
20140510,2014-05-10,Saturday,19,May,May,5,2,2014
20140511,2014-05-11,Sunday,20,May,May,5,2,2014
20140512,2014-05-12,Monday,20,May,May,5,2,2014
20140513,2014-05-13,Tuesday,20,May,May,5,2,2014
20140514,2014-05-14,Wednesday,20,May,May,5,2,2014
20140515,2014-05-15,Thursday,20,May,May,5,2,2014
20140516,2014-05-16,Friday,20,May,May,5,2,2014
20140517,2014-05-17,Saturday,20,May,May,5,2,2014
20140518,2014-05-18,Sunday,21,May,May,5,2,2014
20140519,2014-05-19,Monday,21,May,May,5,2,2014
20140520,2014-05-20,Tuesday,21,May,May,5,2,2014
20140521,2014-05-21,Wednesday,21,May,May,5,2,2014
20140522,2014-05-22,Thursday,21,May,May,5,2,2014
20140523,2014-05-23,Friday,21,May,May,5,2,2014
20140524,2014-05-24,Saturday,21,May,May,5,2,2014
20140525,2014-05-25,Sunday,22,May,May,5,2,2014
20140526,2014-05-26,Monday,22,May,May,5,2,2014
20140527,2014-05-27,Tuesday,22,May,May,5,2,2014
20140528,2014-05-28,Wednesday,22,May,May,5,2,2014
20140529,2014-05-29,Thursday,22,May,May,5,2,2014
20140530,2014-05-30,Friday,22,May,May,5,2,2014
20140531,2014-05-31,Saturday,22,May,May,5,2,2014
20140601,2014-06-01,Sunday,23,June,Jun,6,2,2014
20140602,2014-06-02,Monday,23,June,Jun,6,2,2014
20140603,2014-06-03,Tuesday,23,June,Jun,6,2,2014
20140604,2014-06-04,Wednesday,23,June,Jun,6,2,2014
20140605,2014-06-05,Thursday,23,June,Jun,6,2,2014
20140606,2014-06-06,Friday,23,June,Jun,6,2,2014
20140607,2014-06-07,Saturday,23,June,Jun,6,2,2014
20140608,2014-06-08,Sunday,24,June,Jun,6,2,2014
20140609,2014-06-09,Monday,24,June,Jun,6,2,2014
20140610,2014-06-10,Tuesday,24,June,Jun,6,2,2014
20140611,2014-06-11,Wednesday,24,June,Jun,6,2,2014
20140612,2014-06-12,Thursday,24,June,Jun,6,2,2014
20140613,2014-06-13,Friday,24,June,Jun,6,2,2014
20140614,2014-06-14,Saturday,24,June,Jun,6,2,2014
20140615,2014-06-15,Sunday,25,June,Jun,6,2,2014
20140616,2014-06-16,Monday,25,June,Jun,6,2,2014
20140617,2014-06-17,Tuesday,25,June,Jun,6,2,2014
20140618,2014-06-18,Wednesday,25,June,Jun,6,2,2014
20140619,2014-06-19,Thursday,25,June,Jun,6,2,2014
20140620,2014-06-20,Friday,25,June,Jun,6,2,2014
20140621,2014-06-21,Saturday,25,June,Jun,6,2,2014
20140622,2014-06-22,Sunday,26,June,Jun,6,2,2014
20140623,2014-06-23,Monday,26,June,Jun,6,2,2014
20140624,2014-06-24,Tuesday,26,June,Jun,6,2,2014
20140625,2014-06-25,Wednesday,26,June,Jun,6,2,2014
20140626,2014-06-26,Thursday,26,June,Jun,6,2,2014
20140627,2014-06-27,Friday,26,June,Jun,6,2,2014
20140628,2014-06-28,Saturday,26,June,Jun,6,2,2014
20140629,2014-06-29,Sunday,27,June,Jun,6,2,2014
20140630,2014-06-30,Monday,27,June,Jun,6,2,2014
20140701,2014-07-01,Tuesday,27,July,Jul,7,3,2014
20140702,2014-07-02,Wednesday,27,July,Jul,7,3,2014
20140703,2014-07-03,Thursday,27,July,Jul,7,3,2014
20140704,2014-07-04,Friday,27,July,Jul,7,3,2014
20140705,2014-07-05,Saturday,27,July,Jul,7,3,2014
20140706,2014-07-06,Sunday,28,July,Jul,7,3,2014
20140707,2014-07-07,Monday,28,July,Jul,7,3,2014
20140708,2014-07-08,Tuesday,28,July,Jul,7,3,2014
20140709,2014-07-09,Wednesday,28,July,Jul,7,3,2014
20140710,2014-07-10,Thursday,28,July,Jul,7,3,2014
20140711,2014-07-11,Friday,28,July,Jul,7,3,2014
20140712,2014-07-12,Saturday,28,July,Jul,7,3,2014
20140713,2014-07-13,Sunday,29,July,Jul,7,3,2014
20140714,2014-07-14,Monday,29,July,Jul,7,3,2014
20140715,2014-07-15,Tuesday,29,July,Jul,7,3,2014
20140716,2014-07-16,Wednesday,29,July,Jul,7,3,2014
20140717,2014-07-17,Thursday,29,July,Jul,7,3,2014
20140718,2014-07-18,Friday,29,July,Jul,7,3,2014
20140719,2014-07-19,Saturday,29,July,Jul,7,3,2014
20140720,2014-07-20,Sunday,30,July,Jul,7,3,2014
20140721,2014-07-21,Monday,30,July,Jul,7,3,2014
20140722,2014-07-22,Tuesday,30,July,Jul,7,3,2014
20140723,2014-07-23,Wednesday,30,July,Jul,7,3,2014
20140724,2014-07-24,Thursday,30,July,Jul,7,3,2014
20140725,2014-07-25,Friday,30,July,Jul,7,3,2014
20140726,2014-07-26,Saturday,30,July,Jul,7,3,2014
20140727,2014-07-27,Sunday,31,July,Jul,7,3,2014
20140728,2014-07-28,Monday,31,July,Jul,7,3,2014
20140729,2014-07-29,Tuesday,31,July,Jul,7,3,2014
20140730,2014-07-30,Wednesday,31,July,Jul,7,3,2014
20140731,2014-07-31,Thursday,31,July,Jul,7,3,2014
20140801,2014-08-01,Friday,31,August,Aug,8,3,2014
20140802,2014-08-02,Saturday,31,August,Aug,8,3,2014
20140803,2014-08-03,Sunday,32,August,Aug,8,3,2014
20140804,2014-08-04,Monday,32,August,Aug,8,3,2014
20140805,2014-08-05,Tuesday,32,August,Aug,8,3,2014
20140806,2014-08-06,Wednesday,32,August,Aug,8,3,2014
20140807,2014-08-07,Thursday,32,August,Aug,8,3,2014
20140808,2014-08-08,Friday,32,August,Aug,8,3,2014
20140809,2014-08-09,Saturday,32,August,Aug,8,3,2014
20140810,2014-08-10,Sunday,33,August,Aug,8,3,2014
20140811,2014-08-11,Monday,33,August,Aug,8,3,2014
20140812,2014-08-12,Tuesday,33,August,Aug,8,3,2014
20140813,2014-08-13,Wednesday,33,August,Aug,8,3,2014
20140814,2014-08-14,Thursday,33,August,Aug,8,3,2014
20140815,2014-08-15,Friday,33,August,Aug,8,3,2014
20140816,2014-08-16,Saturday,33,August,Aug,8,3,2014
20140817,2014-08-17,Sunday,34,August,Aug,8,3,2014
20140818,2014-08-18,Monday,34,August,Aug,8,3,2014
20140819,2014-08-19,Tuesday,34,August,Aug,8,3,2014
20140820,2014-08-20,Wednesday,34,August,Aug,8,3,2014
20140821,2014-08-21,Thursday,34,August,Aug,8,3,2014
20140822,2014-08-22,Friday,34,August,Aug,8,3,2014
20140823,2014-08-23,Saturday,34,August,Aug,8,3,2014
20140824,2014-08-24,Sunday,35,August,Aug,8,3,2014
20140825,2014-08-25,Monday,35,August,Aug,8,3,2014
20140826,2014-08-26,Tuesday,35,August,Aug,8,3,2014
20140827,2014-08-27,Wednesday,35,August,Aug,8,3,2014
20140828,2014-08-28,Thursday,35,August,Aug,8,3,2014
20140829,2014-08-29,Friday,35,August,Aug,8,3,2014
20140830,2014-08-30,Saturday,35,August,Aug,8,3,2014
20140831,2014-08-31,Sunday,36,August,Aug,8,3,2014
20140901,2014-09-01,Monday,36,September,Sep,9,3,2014
20140902,2014-09-02,Tuesday,36,September,Sep,9,3,2014
20140903,2014-09-03,Wednesday,36,September,Sep,9,3,2014
20140904,2014-09-04,Thursday,36,September,Sep,9,3,2014
20140905,2014-09-05,Friday,36,September,Sep,9,3,2014
20140906,2014-09-06,Saturday,36,September,Sep,9,3,2014
20140907,2014-09-07,Sunday,37,September,Sep,9,3,2014
20140908,2014-09-08,Monday,37,September,Sep,9,3,2014
20140909,2014-09-09,Tuesday,37,September,Sep,9,3,2014
20140910,2014-09-10,Wednesday,37,September,Sep,9,3,2014
20140911,2014-09-11,Thursday,37,September,Sep,9,3,2014
20140912,2014-09-12,Friday,37,September,Sep,9,3,2014
20140913,2014-09-13,Saturday,37,September,Sep,9,3,2014
20140914,2014-09-14,Sunday,38,September,Sep,9,3,2014
20140915,2014-09-15,Monday,38,September,Sep,9,3,2014
20140916,2014-09-16,Tuesday,38,September,Sep,9,3,2014
20140917,2014-09-17,Wednesday,38,September,Sep,9,3,2014
20140918,2014-09-18,Thursday,38,September,Sep,9,3,2014
20140919,2014-09-19,Friday,38,September,Sep,9,3,2014
20140920,2014-09-20,Saturday,38,September,Sep,9,3,2014
20140921,2014-09-21,Sunday,39,September,Sep,9,3,2014
20140922,2014-09-22,Monday,39,September,Sep,9,3,2014
20140923,2014-09-23,Tuesday,39,September,Sep,9,3,2014
20140924,2014-09-24,Wednesday,39,September,Sep,9,3,2014
20140925,2014-09-25,Thursday,39,September,Sep,9,3,2014
20140926,2014-09-26,Friday,39,September,Sep,9,3,2014
20140927,2014-09-27,Saturday,39,September,Sep,9,3,2014
20140928,2014-09-28,Sunday,40,September,Sep,9,3,2014
20140929,2014-09-29,Monday,40,September,Sep,9,3,2014
20140930,2014-09-30,Tuesday,40,September,Sep,9,3,2014
20141001,2014-10-01,Wednesday,40,October,Oct,10,4,2014
20141002,2014-10-02,Thursday,40,October,Oct,10,4,2014
20141003,2014-10-03,Friday,40,October,Oct,10,4,2014
20141004,2014-10-04,Saturday,40,October,Oct,10,4,2014
20141005,2014-10-05,Sunday,41,October,Oct,10,4,2014
20141006,2014-10-06,Monday,41,October,Oct,10,4,2014
20141007,2014-10-07,Tuesday,41,October,Oct,10,4,2014
20141008,2014-10-08,Wednesday,41,October,Oct,10,4,2014
20141009,2014-10-09,Thursday,41,October,Oct,10,4,2014
20141010,2014-10-10,Friday,41,October,Oct,10,4,2014
20141011,2014-10-11,Saturday,41,October,Oct,10,4,2014
20141012,2014-10-12,Sunday,42,October,Oct,10,4,2014
20141013,2014-10-13,Monday,42,October,Oct,10,4,2014
20141014,2014-10-14,Tuesday,42,October,Oct,10,4,2014
20141015,2014-10-15,Wednesday,42,October,Oct,10,4,2014
20141016,2014-10-16,Thursday,42,October,Oct,10,4,2014
20141017,2014-10-17,Friday,42,October,Oct,10,4,2014
20141018,2014-10-18,Saturday,42,October,Oct,10,4,2014
20141019,2014-10-19,Sunday,43,October,Oct,10,4,2014
20141020,2014-10-20,Monday,43,October,Oct,10,4,2014
20141021,2014-10-21,Tuesday,43,October,Oct,10,4,2014
20141022,2014-10-22,Wednesday,43,October,Oct,10,4,2014
20141023,2014-10-23,Thursday,43,October,Oct,10,4,2014
20141024,2014-10-24,Friday,43,October,Oct,10,4,2014
20141025,2014-10-25,Saturday,43,October,Oct,10,4,2014
20141026,2014-10-26,Sunday,44,October,Oct,10,4,2014
20141027,2014-10-27,Monday,44,October,Oct,10,4,2014
20141028,2014-10-28,Tuesday,44,October,Oct,10,4,2014
20141029,2014-10-29,Wednesday,44,October,Oct,10,4,2014
20141030,2014-10-30,Thursday,44,October,Oct,10,4,2014
20141031,2014-10-31,Friday,44,October,Oct,10,4,2014
20141101,2014-11-01,Saturday,44,November,Nov,11,4,2014
20141102,2014-11-02,Sunday,45,November,Nov,11,4,2014
20141103,2014-11-03,Monday,45,November,Nov,11,4,2014
20141104,2014-11-04,Tuesday,45,November,Nov,11,4,2014
20141105,2014-11-05,Wednesday,45,November,Nov,11,4,2014
20141106,2014-11-06,Thursday,45,November,Nov,11,4,2014
20141107,2014-11-07,Friday,45,November,Nov,11,4,2014
20141108,2014-11-08,Saturday,45,November,Nov,11,4,2014
20141109,2014-11-09,Sunday,46,November,Nov,11,4,2014
20141110,2014-11-10,Monday,46,November,Nov,11,4,2014
20141111,2014-11-11,Tuesday,46,November,Nov,11,4,2014
20141112,2014-11-12,Wednesday,46,November,Nov,11,4,2014
20141113,2014-11-13,Thursday,46,November,Nov,11,4,2014
20141114,2014-11-14,Friday,46,November,Nov,11,4,2014
20141115,2014-11-15,Saturday,46,November,Nov,11,4,2014
20141116,2014-11-16,Sunday,47,November,Nov,11,4,2014
20141117,2014-11-17,Monday,47,November,Nov,11,4,2014
20141118,2014-11-18,Tuesday,47,November,Nov,11,4,2014
20141119,2014-11-19,Wednesday,47,November,Nov,11,4,2014
20141120,2014-11-20,Thursday,47,November,Nov,11,4,2014
20141121,2014-11-21,Friday,47,November,Nov,11,4,2014
20141122,2014-11-22,Saturday,47,November,Nov,11,4,2014
20141123,2014-11-23,Sunday,48,November,Nov,11,4,2014
20141124,2014-11-24,Monday,48,November,Nov,11,4,2014
20141125,2014-11-25,Tuesday,48,November,Nov,11,4,2014
20141126,2014-11-26,Wednesday,48,November,Nov,11,4,2014
20141127,2014-11-27,Thursday,48,November,Nov,11,4,2014
20141128,2014-11-28,Friday,48,November,Nov,11,4,2014
20141129,2014-11-29,Saturday,48,November,Nov,11,4,2014
20141130,2014-11-30,Sunday,49,November,Nov,11,4,2014
20141201,2014-12-01,Monday,49,December,Dec,12,4,2014
20141202,2014-12-02,Tuesday,49,December,Dec,12,4,2014
20141203,2014-12-03,Wednesday,49,December,Dec,12,4,2014
20141204,2014-12-04,Thursday,49,December,Dec,12,4,2014
20141205,2014-12-05,Friday,49,December,Dec,12,4,2014
20141206,2014-12-06,Saturday,49,December,Dec,12,4,2014
20141207,2014-12-07,Sunday,50,December,Dec,12,4,2014
20141208,2014-12-08,Monday,50,December,Dec,12,4,2014
20141209,2014-12-09,Tuesday,50,December,Dec,12,4,2014
20141210,2014-12-10,Wednesday,50,December,Dec,12,4,2014
20141211,2014-12-11,Thursday,50,December,Dec,12,4,2014
20141212,2014-12-12,Friday,50,December,Dec,12,4,2014
20141213,2014-12-13,Saturday,50,December,Dec,12,4,2014
20141214,2014-12-14,Sunday,51,December,Dec,12,4,2014
20141215,2014-12-15,Monday,51,December,Dec,12,4,2014
20141216,2014-12-16,Tuesday,51,December,Dec,12,4,2014
20141217,2014-12-17,Wednesday,51,December,Dec,12,4,2014
20141218,2014-12-18,Thursday,51,December,Dec,12,4,2014
20141219,2014-12-19,Friday,51,December,Dec,12,4,2014
20141220,2014-12-20,Saturday,51,December,Dec,12,4,2014
20141221,2014-12-21,Sunday,52,December,Dec,12,4,2014
20141222,2014-12-22,Monday,52,December,Dec,12,4,2014
20141223,2014-12-23,Tuesday,52,December,Dec,12,4,2014
20141224,2014-12-24,Wednesday,52,December,Dec,12,4,2014
20141225,2014-12-25,Thursday,52,December,Dec,12,4,2014
20141226,2014-12-26,Friday,52,December,Dec,12,4,2014
20141227,2014-12-27,Saturday,52,December,Dec,12,4,2014
20141228,2014-12-28,Sunday,53,December,Dec,12,4,2014
20141229,2014-12-29,Monday,53,December,Dec,12,4,2014
20141230,2014-12-30,Tuesday,53,December,Dec,12,4,2014
20141231,2014-12-31,Wednesday,53,December,Dec,12,4,2014
20130101,2013-01-01,Tuesday,1,January,Jan,1,1,2013
20130102,2013-01-02,Wednesday,1,January,Jan,1,1,2013
20130103,2013-01-03,Thursday,1,January,Jan,1,1,2013
20130104,2013-01-04,Friday,1,January,Jan,1,1,2013
20130105,2013-01-05,Saturday,1,January,Jan,1,1,2013
20130106,2013-01-06,Sunday,2,January,Jan,1,1,2013
20130107,2013-01-07,Monday,2,January,Jan,1,1,2013
20130108,2013-01-08,Tuesday,2,January,Jan,1,1,2013
20130109,2013-01-09,Wednesday,2,January,Jan,1,1,2013
20130110,2013-01-10,Thursday,2,January,Jan,1,1,2013
20130111,2013-01-11,Friday,2,January,Jan,1,1,2013
20130112,2013-01-12,Saturday,2,January,Jan,1,1,2013
20130113,2013-01-13,Sunday,3,January,Jan,1,1,2013
20130114,2013-01-14,Monday,3,January,Jan,1,1,2013
20130115,2013-01-15,Tuesday,3,January,Jan,1,1,2013
20130116,2013-01-16,Wednesday,3,January,Jan,1,1,2013
20130117,2013-01-17,Thursday,3,January,Jan,1,1,2013
20130118,2013-01-18,Friday,3,January,Jan,1,1,2013
20130119,2013-01-19,Saturday,3,January,Jan,1,1,2013
20130120,2013-01-20,Sunday,4,January,Jan,1,1,2013
20130121,2013-01-21,Monday,4,January,Jan,1,1,2013
20130122,2013-01-22,Tuesday,4,January,Jan,1,1,2013
20130123,2013-01-23,Wednesday,4,January,Jan,1,1,2013
20130124,2013-01-24,Thursday,4,January,Jan,1,1,2013
20130125,2013-01-25,Friday,4,January,Jan,1,1,2013
20130126,2013-01-26,Saturday,4,January,Jan,1,1,2013
20130127,2013-01-27,Sunday,5,January,Jan,1,1,2013
20130128,2013-01-28,Monday,5,January,Jan,1,1,2013
20130129,2013-01-29,Tuesday,5,January,Jan,1,1,2013
20130130,2013-01-30,Wednesday,5,January,Jan,1,1,2013
20130131,2013-01-31,Thursday,5,January,Jan,1,1,2013
20130201,2013-02-01,Friday,5,February,Feb,2,1,2013
20130202,2013-02-02,Saturday,5,February,Feb,2,1,2013
20130203,2013-02-03,Sunday,6,February,Feb,2,1,2013
20130204,2013-02-04,Monday,6,February,Feb,2,1,2013
20130205,2013-02-05,Tuesday,6,February,Feb,2,1,2013
20130206,2013-02-06,Wednesday,6,February,Feb,2,1,2013
20130207,2013-02-07,Thursday,6,February,Feb,2,1,2013
20130208,2013-02-08,Friday,6,February,Feb,2,1,2013
20130209,2013-02-09,Saturday,6,February,Feb,2,1,2013
20130210,2013-02-10,Sunday,7,February,Feb,2,1,2013
20130211,2013-02-11,Monday,7,February,Feb,2,1,2013
20130212,2013-02-12,Tuesday,7,February,Feb,2,1,2013
20130213,2013-02-13,Wednesday,7,February,Feb,2,1,2013
20130214,2013-02-14,Thursday,7,February,Feb,2,1,2013
20130215,2013-02-15,Friday,7,February,Feb,2,1,2013
20130216,2013-02-16,Saturday,7,February,Feb,2,1,2013
20130217,2013-02-17,Sunday,8,February,Feb,2,1,2013
20130218,2013-02-18,Monday,8,February,Feb,2,1,2013
20130219,2013-02-19,Tuesday,8,February,Feb,2,1,2013
20130220,2013-02-20,Wednesday,8,February,Feb,2,1,2013
20130221,2013-02-21,Thursday,8,February,Feb,2,1,2013
20130222,2013-02-22,Friday,8,February,Feb,2,1,2013
20130223,2013-02-23,Saturday,8,February,Feb,2,1,2013
20130224,2013-02-24,Sunday,9,February,Feb,2,1,2013
20130225,2013-02-25,Monday,9,February,Feb,2,1,2013
20130226,2013-02-26,Tuesday,9,February,Feb,2,1,2013
20130227,2013-02-27,Wednesday,9,February,Feb,2,1,2013
20130228,2013-02-28,Thursday,9,February,Feb,2,1,2013
20130301,2013-03-01,Friday,9,March,Mar,3,1,2013
20130302,2013-03-02,Saturday,9,March,Mar,3,1,2013
20130303,2013-03-03,Sunday,10,March,Mar,3,1,2013
20130304,2013-03-04,Monday,10,March,Mar,3,1,2013
20130305,2013-03-05,Tuesday,10,March,Mar,3,1,2013
20130306,2013-03-06,Wednesday,10,March,Mar,3,1,2013
20130307,2013-03-07,Thursday,10,March,Mar,3,1,2013
20130308,2013-03-08,Friday,10,March,Mar,3,1,2013
20130309,2013-03-09,Saturday,10,March,Mar,3,1,2013
20130310,2013-03-10,Sunday,11,March,Mar,3,1,2013
20130311,2013-03-11,Monday,11,March,Mar,3,1,2013
20130312,2013-03-12,Tuesday,11,March,Mar,3,1,2013
20130313,2013-03-13,Wednesday,11,March,Mar,3,1,2013
20130314,2013-03-14,Thursday,11,March,Mar,3,1,2013
20130315,2013-03-15,Friday,11,March,Mar,3,1,2013
20130316,2013-03-16,Saturday,11,March,Mar,3,1,2013
20130317,2013-03-17,Sunday,12,March,Mar,3,1,2013
20130318,2013-03-18,Monday,12,March,Mar,3,1,2013
20130319,2013-03-19,Tuesday,12,March,Mar,3,1,2013
20130320,2013-03-20,Wednesday,12,March,Mar,3,1,2013
20130321,2013-03-21,Thursday,12,March,Mar,3,1,2013
20130322,2013-03-22,Friday,12,March,Mar,3,1,2013
20130323,2013-03-23,Saturday,12,March,Mar,3,1,2013
20130324,2013-03-24,Sunday,13,March,Mar,3,1,2013
20130325,2013-03-25,Monday,13,March,Mar,3,1,2013
20130326,2013-03-26,Tuesday,13,March,Mar,3,1,2013
